,Facility_City,Facility_State,Procedure_Heart_Attack_Cost,Procedure_Heart_Failure_Cost,Rating_Overall,Procedure_Pneumonia_Quality,Procedure_Pneumonia_Cost,Rating_Mortality,Rating_Safety,Rating_Readmission,Rating_Experience,Rating_Effectiveness,Rating_Timeliness,Procedure_Pneumonia_Value,Procedure_Heart_Failure_Value
3209,Stillwater,MN,0.0,16627.0,5.0,2.0,17044.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0
3210,Stillwater,OK,24397.0,16361.0,4.0,2.0,17774.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
3211,Stilwell,OK,0.0,12865.0,5.0,3.0,14036.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0
3212,Stockbridge,GA,23582.0,17129.0,1.0,1.0,18701.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
3213,Stockton,CA,24207.0,16858.5,2.0,2.0,18149.5,0.5,0.5,0.0,0.0,1.0,0.0,2.5,2.0
3214,Stony Brook,NY,24213.0,17722.0,3.0,3.0,17807.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0
3215,Storm Lake,IA,0.0,14891.0,3.0,2.0,15718.0,1.0,-1.0,2.0,2.0,1.0,1.0,2.0,2.0
3216,Stoughton,WI,0.0,15702.0,5.0,2.0,18031.0,-1.0,-1.0,2.0,2.0,1.0,1.0,2.0,2.0
3217,Stratford,NJ,24987.0,17878.0,2.0,2.0,19110.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0
3218,Stroud,OK,0.0,0.0,-1.0,2.0,18282.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,2.0,-1.0
3219,Stroudsburg,PA,0.0,18359.0,3.0,2.0,17283.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0
3220,Stuart,FL,25750.0,17544.0,1.0,2.0,17391.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0
3221,Sturgeon Bay,WI,0.0,14952.0,5.0,2.0,15337.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
3222,Sturgis,MI,0.0,15114.0,3.0,1.0,15981.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0
3223,Sturgis,SD,0.0,0.0,4.0,2.0,18750.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
3224,Stuttgart,AR,0.0,15932.0,3.0,2.0,15282.0,1.0,-1.0,0.0,2.0,1.0,2.0,1.0,2.0
3225,Suffern,NY,26518.0,20394.0,1.0,2.0,20310.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0
3226,Suffolk,VA,23717.0,16047.0,4.0,2.0,16806.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0
3227,Sugar Land,TX,19027.0,14158.25,3.75,1.5,15484.25,0.75,0.5,0.75,1.25,1.0,0.5,1.75,1.75
3228,Sullivan,IN,0.0,17697.0,3.0,2.0,16349.0,1.0,-1.0,0.0,2.0,-1.0,1.0,2.0,2.0
3229,Sullivan,MO,0.0,17494.0,3.0,2.0,16185.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,2.0
3230,Sulphur,LA,23036.0,15411.0,3.0,2.0,17703.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0
3231,Sulphur,OK,0.0,16805.0,5.0,2.0,15503.0,1.0,-1.0,2.0,2.0,-1.0,-1.0,1.0,2.0
3232,Sulphur Springs,TX,25062.0,18451.0,3.0,2.0,17108.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0
3233,Summersville,WV,0.0,15158.0,2.0,1.0,14143.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,2.0
3234,Summit,NJ,23820.0,18466.0,3.0,2.0,18513.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,3.0
3235,Summit,WI,23588.0,16902.0,4.0,2.0,18768.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
3236,Sumner,IA,0.0,0.0,4.0,2.0,20753.0,-1.0,-1.0,1.0,-1.0,-1.0,2.0,3.0,-1.0
